"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Gasteren";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800300";1;0;0;10;110;1;1;3;30;360;250;110
"Verspreide huizen Gasteren";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800309";1;;;;;;;;;10;10;0
"Wijk 04 Anderen";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168004  ";1;0;0;10;60;0;1;6;26;230;170;60
"Anderen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800400";1;0;0;10;60;1;1;6;27;210;150;60
"Verspreide huizen Anderen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800409";1;;;;;;;;;20;20;0
"Wijk 05 Schipborg";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168005  ";1;0;10;10;220;0;1;2;40;530;320;220
"Schipborg";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800500";1;0;10;10;200;0;1;2;40;490;290;200
"Verspreide huizen Schipborg";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800509";1;0;0;0;20;0;0;4;40;50;30;20
"Wijk 06 Eexterveen";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168006  ";1;0;0;10;70;1;0;3;17;400;330;70
"Eexterveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800600";1;0;0;10;70;1;0;3;17;390;320;70
"Verspreide huizen Eexterveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800609";1;;;;;;;;;20;10;0
"Wijk 07 Spijkerboor";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168007  ";1;0;0;0;30;0;2;2;24;130;100;30
"Spijkerboor";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800700";1;0;0;0;30;0;2;2;24;130;100;30
"Verspreide huizen Spijkerboor";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800709";1;;;;;;;;;0;0;0
"Wijk 08 Nieuw-Annerveen";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168008  ";1;0;0;0;20;3;0;5;19;90;70;20
"Nieuw-Annerveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800800";1;0;0;0;20;4;0;5;21;80;70;20
"Verspreide huizen Nieuw-Annerveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800809";1;;;;;;;;;10;10;0
"Wijk 09 Oud-Annerveen";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";1;0;0;10;30;0;0;6;23;110;80;30
"Oud-Annerveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800900";1;0;0;10;30;0;0;6;24;100;80;30
"Verspreide huizen Oud-Annerveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16800909";1;;;;;;;;;0;0;0
"Wijk 11 Annerveenschekanaal";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168011  ";1;10;0;20;50;2;0;7;15;350;290;50
"Annerveenschekanaal";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801100";1;10;0;20;50;2;0;7;15;350;290;50
"Verspreide huizen Annerveenschekanaal";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801109";1;;;;;;;;;0;0;0
