"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2020 december";"Verspreide huizen Gieterveen";"Aa en Hunze                             ";"       0";"       0";"      10";"      50";"       2";"       1";"       5";"      27";"     180";"     130";"      50"
"2020 december";"Wijk 19 Rolde";"Aa en Hunze                             ";"      40";"      60";"     350";"    1450";"       1";"       1";"       8";"      34";"    4250";"    2800";"    1450"
"2020 december";"Rolde";"Aa en Hunze                             ";"      40";"      50";"     130";"    1250";"       1";"       2";"       4";"      38";"    3290";"    2040";"    1250"
"2020 december";"Ballo";"Aa en Hunze                             ";"       0";"       0";"      10";"      40";"       1";"       1";"       7";"      30";"     150";"     100";"      40"
"2020 december";"Nijlande";"Aa en Hunze                             ";"       0";"       0";"       0";"      10";"       0";"       0";"       2";"      25";"      50";"      40";"      10"
"2020 december";"Deurze";"Aa en Hunze                             ";"       0";"       0";"       0";"      10";"       0";"       0";"       0";"      18";"      80";"      60";"      10"
"2020 december";"Verspreide huizen Nooitgedacht";"Aa en Hunze                             ";"       0";"       0";"     200";"     100";"       0";"       0";"      36";"      19";"     550";"     440";"     100"
"2020 december";"Verspreide huizen Rolde";"Aa en Hunze                             ";"       0";"       0";"      10";"      30";"       2";"       0";"       4";"      20";"     130";"     110";"      30"
"2020 december";"Wijk 20 Grolloo";"Aa en Hunze                             ";"      10";"      20";"      50";"     230";"       1";"       2";"       5";"      24";"     960";"     730";"     230"
"2020 december";"Grolloo";"Aa en Hunze                             ";"      10";"      10";"      20";"     130";"       1";"       1";"       3";"      24";"     530";"     400";"     130"
"2020 december";"Schoonloo";"Aa en Hunze                             ";"       0";"      10";"      10";"      40";"       1";"       3";"       4";"      25";"     150";"     110";"      40"
"2020 december";"Verspreide huizen Papenvoort";"Aa en Hunze                             ";"       0";"       0";"      10";"      10";"       4";"       0";"      11";"      19";"      50";"      40";"      10"
"2020 december";"Verspreide huizen Grolloo";"Aa en Hunze                             ";"       0";"      10";"      20";"      50";"       1";"       2";"      10";"      23";"     230";"     170";"      50"
"2020 december";"Wijk 21 Ekehaar";"Aa en Hunze                             ";"       0";"       0";"      20";"     100";"       0";"       0";"       4";"      22";"     440";"     350";"     100"
"2020 december";"Ekehaar";"Aa en Hunze                             ";"       0";"       0";"      10";"      60";"       0";"       0";"       4";"      25";"     240";"     180";"      60"
"2020 december";"Amen";"Aa en Hunze                             ";"       0";"       0";"       0";"      10";"       0";"       1";"       5";"      16";"      80";"      70";"      10"
"2020 december";"Verspreide huizen Ekehaar";"Aa en Hunze                             ";"       0";"       0";"       0";"      30";"       0";"       0";"       2";"      21";"     120";"     100";"      30"
