"Overlast";"Perioden";"Wijken en buurten";"Geregistreerde overlast (aantal)"
"Totaal registraties overlast";"2023 april";"Wielingenbuurt";"       2"
"Totaal registraties overlast";"2023 april";"Scheldebuurt West";"       6"
"Totaal registraties overlast";"2023 april";"Scheldebuurt Midden";"       4"
"Totaal registraties overlast";"2023 april";"Scheldebuurt Oost";"       4"
"Totaal registraties overlast";"2023 april";"Veluwebuurt";"       2"
"Totaal registraties overlast";"2023 april";"Kop Zuidas";"       3"
"Totaal registraties overlast";"2023 april";"IJselbuurt";"      17"
"Totaal registraties overlast";"2023 april";"IJselbuurt West";"      10"
"Totaal registraties overlast";"2023 april";"IJselbuurt Oost";"       7"
"Totaal registraties overlast";"2023 april";"Rijnbuurt";"      15"
"Totaal registraties overlast";"2023 april";"Kromme Mijdrechtbuurt";"       7"
"Totaal registraties overlast";"2023 april";"Rijnbuurt Oost";"       1"
"Totaal registraties overlast";"2023 april";"Rijnbuurt Midden";"       5"
"Totaal registraties overlast";"2023 april";"Rijnbuurt West";"       1"
"Totaal registraties overlast";"2023 april";"Zorgvlied";"       1"
"Totaal registraties overlast";"2023 april";"Frankendael";"      19"
"Totaal registraties overlast";"2023 april";"De Eenhoorn";"       0"
"Totaal registraties overlast";"2023 april";"Julianapark";"       7"
"Totaal registraties overlast";"2023 april";"Don Bosco";"       4"
"Totaal registraties overlast";"2023 april";"Frankendael";"       0"
"Totaal registraties overlast";"2023 april";"Tuindorp Amstelstation";"       1"
"Totaal registraties overlast";"2023 april";"De Wetbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Tuindorp Frankendael";"       5"
"Totaal registraties overlast";"2023 april";"Van der Kunbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Middenmeer";"       5"
"Totaal registraties overlast";"2023 april";"Linnaeusparkbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Middenmeer Noord";"       0"
"Totaal registraties overlast";"2023 april";"Middenmeer Zuid";"       2"
"Totaal registraties overlast";"2023 april";"Sportpark Middenmeer Zuid";"       0"
"Totaal registraties overlast";"2023 april";"Sportpark Middenmeer Noord";"       0"
"Totaal registraties overlast";"2023 april";"Park de Meer";"       0"
"Totaal registraties overlast";"2023 april";"Sportpark Voorland";"       0"
"Totaal registraties overlast";"2023 april";"Science Park Noord";"       1"
"Totaal registraties overlast";"2023 april";"Science Park Zuid";"       1"
"Totaal registraties overlast";"2023 april";"Betondorp";"      10"
"Totaal registraties overlast";"2023 april";"Betondorp";"       9"
"Totaal registraties overlast";"2023 april";"Nieuwe Oosterbegraafplaats";"       1"
"Totaal registraties overlast";"2023 april";"Drieburg";"       0"
"Totaal registraties overlast";"2023 april";"Omval/Overamstel";"       6"
"Totaal registraties overlast";"2023 april";"Weespertrekvaart";"       1"
"Totaal registraties overlast";"2023 april";"Amstelglorie";"       0"
"Totaal registraties overlast";"2023 april";"Overamstel";"       2"
"Totaal registraties overlast";"2023 april";"Amstelkwartier Noord";"       0"
"Totaal registraties overlast";"2023 april";"De Omval";"       0"
"Totaal registraties overlast";"2023 april";"Amstelkwartier Zuid";"       2"
"Totaal registraties overlast";"2023 april";"Amstelkwartier West";"       1"
"Totaal registraties overlast";"2023 april";"Prinses Irenebuurt e.o.";"       2"
"Totaal registraties overlast";"2023 april";"Prinses Irenebuurt";"       1"
"Totaal registraties overlast";"2023 april";"Beatrixpark";"       1"
"Totaal registraties overlast";"2023 april";"Volewijck";"      36"
"Totaal registraties overlast";"2023 april";"Van der Pekbuurt";"      16"
"Totaal registraties overlast";"2023 april";"Bloemenbuurt Zuid";"       8"
"Totaal registraties overlast";"2023 april";"Bloemenbuurt Noord";"      12"
"Totaal registraties overlast";"2023 april";"IJplein/Vogelbuurt";"      11"
"Totaal registraties overlast";"2023 april";"IJplein e.o.";"       4"
"Totaal registraties overlast";"2023 april";"Vogelbuurt Zuid";"       2"
"Totaal registraties overlast";"2023 april";"Vogelbuurt Noord";"       4"
"Totaal registraties overlast";"2023 april";"Vliegenbos";"       1"
"Totaal registraties overlast";"2023 april";"Tuindorp Nieuwendam";"       0"
"Totaal registraties overlast";"2023 april";"Tuindorp Nieuwendam West";"       0"
"Totaal registraties overlast";"2023 april";"Tuindorp Nieuwendam Oost";"       0"
"Totaal registraties overlast";"2023 april";"Tuindorp Buiksloot";"       4"
"Totaal registraties overlast";"2023 april";"Blauwe Zand";"       4"
"Totaal registraties overlast";"2023 april";"Nieuwendammerdijk/Buiksloterdijk";"       1"
"Totaal registraties overlast";"2023 april";"Buiksloterdijk West";"       0"
"Totaal registraties overlast";"2023 april";"Buiksloterdijk Oost";"       0"
"Totaal registraties overlast";"2023 april";"Nieuwendammerdijk West";"       1"
"Totaal registraties overlast";"2023 april";"Nieuwendammerdijk Oost";"       0"
"Totaal registraties overlast";"2023 april";"Nieuwendammerdijk Zuid";"       0"
"Totaal registraties overlast";"2023 april";"Tuindorp Oostzaan";"      14"
"Totaal registraties overlast";"2023 april";"Tuindorp Oostzaan West";"       1"
"Totaal registraties overlast";"2023 april";"Tuindorp Oostzaan Oost";"       2"
"Totaal registraties overlast";"2023 april";"Terrasdorp";"      10"
"Totaal registraties overlast";"2023 april";"De Bongerd";"       1"
"Totaal registraties overlast";"2023 april";"Oostzanerwerf";"      11"
"Totaal registraties overlast";"2023 april";"Oostzanerdijk";"       0"
"Totaal registraties overlast";"2023 april";"Walvisbuurt";"       0"
"Totaal registraties overlast";"2023 april";"Twiske West";"       0"
"Totaal registraties overlast";"2023 april";"Noorder IJplas";"       0"
"Totaal registraties overlast";"2023 april";"Molenwijk";"      10"
"Totaal registraties overlast";"2023 april";"Circus/Kermisbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Kadoelen";"       5"
"Totaal registraties overlast";"2023 april";"Kadoelen";"       1"
"Totaal registraties overlast";"2023 april";"Twiske Oost";"       4"
"Totaal registraties overlast";"2023 april";"Waterlandpleinbuurt";"      28"
"Totaal registraties overlast";"2023 april";"Baanakkerspark Noord";"       1"
"Totaal registraties overlast";"2023 april";"Baanakkerspark Zuid";"       0"
"Totaal registraties overlast";"2023 april";"Werengouw Midden";"      15"
"Totaal registraties overlast";"2023 april";"Markengouw Midden";"      10"
"Totaal registraties overlast";"2023 april";"Markengouw Zuid";"       1"
"Totaal registraties overlast";"2023 april";"Werengouw Zuid";"       1"
