"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Gasselterboerveenschemond";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801601";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      40";"      30";"      10"
"Verspr.h. Gasselternijveenschemond";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801609";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"      10";"       0"
"Wijk 17 Gieten";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168017  ";"       1";"      60";"      70";"     150";"    1420";"       1";"       2";"       3";"      33";"    4360";"    2930";"    1430"
"Gieten";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801700";"       1";"      50";"      70";"     150";"    1380";"       1";"       2";"       4";"      33";"    4220";"    2840";"    1380"
"Verspreide huizen Gieten";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801709";"       1";"       0";"       0";"       0";"      50";"       2";"       1";"       1";"      33";"     140";"      90";"      50"
"Wijk 18 Gieterveen";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168018  ";"       1";"      20";"      10";"      50";"     220";"       2";"       1";"       4";"      21";"    1080";"     860";"     220"
"Gieterveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801800";"       1";"      10";"      10";"      20";"     110";"       2";"       2";"       4";"      19";"     570";"     470";"     110"
"Bonnerveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801801";"       1";"       0";"       0";"       0";"      20";"       3";"       0";"       1";"      20";"      90";"      70";"      20"
"Nieuwediep";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801802";"       1";"       0";"       0";"      10";"      50";"       2";"       0";"       5";"      23";"     240";"     180";"      50"
"Verspreide huizen Gieterveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801809";"       1";"       0";"       0";"      10";"      50";"       1";"       0";"       7";"      25";"     180";"     130";"      50"
"Wijk 19 Rolde";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168019  ";"       1";"      40";"      50";"     360";"    1450";"       1";"       1";"       8";"      34";"    4290";"    2840";"    1460"
"Rolde";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801900";"       1";"      30";"      50";"     140";"    1240";"       1";"       1";"       4";"      38";"    3260";"    2020";"    1250"
"Ballo";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801901";"       1";"       0";"       0";"      10";"      40";"       0";"       0";"       6";"      29";"     140";"     100";"      40"
"Nijlande";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801902";"       1";"       0";"       0";"       0";"      10";"       0";"       0";"       2";"      29";"      50";"      40";"      10"
"Deurze";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801903";"       1";"       0";"       0";"       0";"      20";"       0";"       0";"       1";"      22";"      80";"      60";"      20"
"Verspreide huizen Nooitgedacht";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801908";"       1";"       0";"       0";"     200";"     110";"       1";"       0";"      32";"      17";"     640";"     530";"     110"
"Verspreide huizen Rolde";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801909";"       1";"       0";"       0";"      10";"      30";"       2";"       0";"       5";"      23";"     130";"     100";"      30"
"Wijk 20 Grolloo";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168020  ";"       1";"      10";"      10";"      50";"     240";"       1";"       2";"       5";"      25";"     970";"     720";"     240"
"Grolloo";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16802000";"       1";"      10";"      10";"      20";"     140";"       1";"       1";"       3";"      25";"     540";"     400";"     140"
"Schoonloo";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16802001";"       1";"       0";"       0";"      10";"      40";"       0";"       2";"       5";"      26";"     150";"     110";"      40"
"Verspreide huizen Papenvoort";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16802008";"       1";"       0";"       0";"      10";"      10";"       2";"       0";"       9";"      21";"      50";"      40";"      10"
"Verspreide huizen Grolloo";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16802009";"       1";"       0";"       0";"      20";"      50";"       1";"       2";"       9";"      24";"     220";"     170";"      50"
"Wijk 21 Ekehaar";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168021  ";"       1";"       0";"       0";"      20";"     110";"       1";"       0";"       4";"      24";"     450";"     340";"     110"
"Ekehaar";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16802100";"       1";"       0";"       0";"      10";"      60";"       0";"       0";"       6";"      27";"     240";"     170";"      60"
"Amen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16802101";"       1";"       0";"       0";"       0";"      20";"       0";"       1";"       2";"      18";"      90";"      70";"      20"
"Verspreide huizen Ekehaar";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16802109";"       1";"       0";"       0";"       0";"      30";"       2";"       0";"       3";"      21";"     130";"     100";"      30"
