"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2013 maart";"Wijk 02 Almere-Stad";"Almere                                  ";"Wijk    ";"WK003402  ";"       1";"    3000";"    3070";"    5130";"    9150";"       4";"       4";"       6";"      11";"   86670";"   77440";"    9230"
"2013 juni";"Wijk 02 Almere-Stad";"Almere                                  ";"Wijk    ";"WK003402  ";"       1";"    3150";"    3110";"    5110";"    9280";"       4";"       4";"       6";"      11";"   86850";"   77480";"    9360"
"2013 september";"Wijk 02 Almere-Stad";"Almere                                  ";"Wijk    ";"WK003402  ";"       1";"    3280";"    3060";"    5140";"    9420";"       4";"       4";"       6";"      11";"   86880";"   77380";"    9510"
"2013 december";"Wijk 02 Almere-Stad";"Almere                                  ";"Wijk    ";"WK003402  ";"       1";"    3490";"    3180";"    5110";"    9610";"       4";"       4";"       6";"      11";"   86800";"   77160";"    9640"
"2013 maart";"Centrum Almere-Stad";"Almere                                  ";"Buurt   ";"BU00340201";"       3";"     140";"     120";"     190";"     620";"       4";"       3";"       5";"      17";"    3760";"    3130";"     620"
"2013 juni";"Centrum Almere-Stad";"Almere                                  ";"Buurt   ";"BU00340201";"       3";"     150";"     130";"     190";"     630";"       4";"       4";"       5";"      17";"    3720";"    3090";"     630"
"2013 september";"Centrum Almere-Stad";"Almere                                  ";"Buurt   ";"BU00340201";"       3";"     160";"     140";"     200";"     630";"       4";"       4";"       6";"      17";"    3690";"    3060";"     640"
"2013 december";"Centrum Almere-Stad";"Almere                                  ";"Buurt   ";"BU00340201";"       3";"     140";"     150";"     200";"     640";"       4";"       4";"       5";"      18";"    3670";"    3030";"     650"
"2013 maart";"Filmwijk";"Almere                                  ";"Buurt   ";"BU00340202";"       1";"     280";"     340";"     450";"     910";"       3";"       4";"       5";"      11";"    8510";"    7600";"     910"
"2013 juni";"Filmwijk";"Almere                                  ";"Buurt   ";"BU00340202";"       1";"     310";"     350";"     440";"     920";"       4";"       4";"       5";"      11";"    8530";"    7600";"     930"
